PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 8.3 uM,Standard Deviation,Inhibition at 8.3 uM [1],Inhibition at 8.3 uM [2],Inhibition at 8.3 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.3 uM.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 1.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 2.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 3.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
30,17386172,11838394,CCC1=CC=C(C=C1)C(C)NC(=O)/C(=C\C2=C(NN=C2)C3=CC=CC=C3)/C#N,Inactive,20,,,12.46,0.966511,13.7905,12.0471,11.5317
31,47196387,2215042,CC(=O)NC1=CC=C(C=C1)C2=CSC(=N2)NCCC3=CC=CC=C3,Inactive,20,,,12.03,0.502392,11.3359,12.4976,12.2683
32,24832765,8572,C1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2)O)O,Inactive,19,,,11.88,0.353454,12.3297,11.8518,11.4655
33,17514698,1263816,CC(=O)NC1=CC=C(C=C1)NC2=C3C4=CC=CC=C4C(=O)C5=C3C(=CC=C5)N(C2=O)C,Inactive,19,,,11.55,0.699557,10.9324,12.5247,11.1803
34,47204254,881885,COC1=C(C=C(C=C1Cl)C(=O)NCC2=CC=CO2)Cl,Inactive,19,,,11.31,1.52649,12.735,12.009,9.19545
35,24823842,16195593,CC1=CC2=C(C(=C1N)[N+](=O)[O-])N=C3C(=N2)C(=O)NC(=O)N3,Inactive,18,,,11.31,1.1999,10.5989,10.3218,12.9944
36,87347088,3845979,CN1C2=CC(=C(C=C2N=C1N=NC3=C(C=C(C=C3)OC)OC)Br)Br,Inactive,18,,,11.18,0.669752,12.0145,11.1566,10.3745
37,49680279,135435971,C1=CC2=C(C=C1O)N3C(=C(C=N3)Br)N=N2,Inactive,18,,,10.76,1.08701,11.2356,11.7867,9.25515
38,49826028,2209352,CC1=CC(=C(C=C1)NC(=S)NCC2=CC=C(C=C2)Cl)OC(F)F,Inactive,17,,,10.63,1.48731,12.7356,9.64555,9.51927
39,124755443,53301272,CCOC(=O)[C@]12CC3=C(C(=C(C=C3[C@H]1N(C(=O)C4=C2C=CC(=C4)OC)C)OC)OC)OC,Inactive,17,,,10.62,0.143394,10.7606,10.6658,10.4203
